epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,448.589,0.49248,0.89932,1.87806,1.14309,0,0.35239,0.88516,0.40323,0.26157,0.35073,0.89096,0.40536,0.31709,1.11963,0.54243,2.68116,1.81242,0,0.0004732,0.0004732,0.0004732
2,899.894,0.40098,0.52091,1.36301,1.06125,0,0.40189,0.76997,0.46665,0.38889,0.39985,0.76441,0.46326,0.30358,0.56935,2.40166,2.05472,0.965,0,0.000911931,0.000911931,0.000911931
3,1351.4,0.37679,0.47511,1.23559,1.04621,0,0.40552,0.85835,0.48603,0.46177,0.40552,0.85835,0.48429,0.46811,0.30867,0.34726,1.48887,0.6073,0,0.00131294,0.00131294,0.00131294
4,1990.38,0.37724,0.48702,1.16703,1.0426,0,0.40199,0.82789,0.56005,0.46109,0.40199,0.82789,0.56005,0.49344,0.57628,0.34039,1.44606,0.9506,0,0.00125923,0.00125923,0.00125923
5,2467.39,0.33844,0.45697,1.11625,1.01689,0,0.44068,0.76806,0.54369,0.51253,0.44068,0.76806,0.54369,0.51983,0.31163,0.33296,1.25371,0.60168,0,0.00120265,0.00120265,0.00120265
6,2945.15,0.33007,0.46673,1.06645,1.01003,0,0.4748,0.76651,0.56104,0.52595,0.47351,0.76408,0.55984,0.53724,0.35884,0.33662,1.18184,0.63779,0,0.00114606,0.00114606,0.00114606
7,3415.51,0.30427,0.44226,1.03654,0.99869,0,0.44138,0.8923,0.5343,0.51604,0.44138,0.8923,0.5343,0.51963,0.25018,0.2452,1.21943,0.51119,0,0.00108947,0.00108947,0.00108947
8,3884.39,0.3011,0.45187,1.02457,0.99498,0,0.46649,0.84646,0.56506,0.53621,0.46649,0.84646,0.56506,0.54375,0.27425,0.33084,1.02722,0.5473,0,0.00103288,0.00103288,0.00103288
9,4355.24,0.28737,0.43972,0.98769,0.98985,0,0.48604,0.73138,0.57106,0.55082,0.48604,0.73138,0.57106,0.55633,0.27072,0.30617,1.03064,0.52018,0,0.000976293,0.000976293,0.000976293
10,4831.48,0.26585,0.4234,0.95665,0.97653,0,0.39862,0.90803,0.48688,0.46162,0.39862,0.90803,0.48688,0.47081,0.3079,0.28478,1.32557,0.56041,0,0.000919704,0.000919704,0.000919704
11,5308.16,0.26957,0.43545,0.97123,0.97405,0,0.48157,0.82862,0.56144,0.55414,0.48157,0.82862,0.56348,0.55213,0.21487,0.29349,1.18405,0.43203,0,0.000863116,0.000863116,0.000863116
12,5785.52,0.25387,0.42846,0.94475,0.97479,0,0.41708,0.82501,0.57325,0.55262,0.41708,0.82501,0.57325,0.54468,0.2348,0.37804,1.04547,0.48152,0,0.000806528,0.000806528,0.000806528
13,6260.76,0.25559,0.4336,0.94373,0.97542,0,0.47183,0.75664,0.58906,0.55006,0.47183,0.75664,0.58906,0.56942,0.3051,0.27578,1.09204,0.57655,0,0.000749939,0.000749939,0.000749939
14,6720.13,0.24977,0.42248,0.93643,0.97537,0,0.4789,0.82202,0.55307,0.51103,0.4789,0.82202,0.55307,0.53116,0.31595,0.28204,1.09804,0.57809,0,0.000693351,0.000693351,0.000693351
15,7193.01,0.24022,0.41544,0.92797,0.9619,0,0.41214,0.82048,0.58221,0.57133,0.41214,0.82048,0.58221,0.56712,0.28849,0.30267,1.13621,0.53448,0,0.000636762,0.000636762,0.000636762
16,7652.95,0.10321,0.2324,0.91998,0.94835,0,0.47265,0.78754,0.59603,0.59545,0.47265,0.78754,0.59603,0.58879,0.18961,0.27063,0.99583,0.41253,0,0.000580174,0.000580174,0.000580174
17,8112.24,0.07887,0.2148,0.86923,0.93246,0,0.496,0.8027,0.57366,0.57221,0.496,0.8027,0.57366,0.56743,0.18185,0.2614,0.94811,0.3998,0,0.000523586,0.000523586,0.000523586
18,8571.2,0.06162,0.21253,0.86353,0.92439,0,0.52073,0.69481,0.58207,0.58163,0.52073,0.69481,0.58207,0.57952,0.17412,0.24666,0.88062,0.37997,0,0.000466997,0.000466997,0.000466997
19,9028.64,0.06814,0.21192,0.84235,0.91677,0,0.49937,0.78508,0.61123,0.6108,0.49937,0.78508,0.61123,0.60575,0.16291,0.25024,0.92498,0.37216,0,0.000410409,0.000410409,0.000410409
20,9488.42,0.05685,0.20836,0.84599,0.91917,0,0.5009,0.8224,0.61335,0.61335,0.5009,0.8224,0.61335,0.60825,0.19156,0.23719,0.91504,0.41369,0,0.00035382,0.00035382,0.00035382
21,9949.24,0.05512,0.21229,0.84343,0.90037,0,0.53732,0.76775,0.60995,0.60771,0.53732,0.76775,0.60995,0.60683,0.20735,0.2344,0.91469,0.43312,0,0.000297232,0.000297232,0.000297232
22,10407.6,0.05077,0.20851,0.8214,0.9103,0,0.52183,0.7967,0.62123,0.62123,0.52183,0.7967,0.62123,0.61818,0.17327,0.23081,0.90101,0.37316,0,0.000240644,0.000240644,0.000240644
23,10866.1,0.04502,0.20214,0.82249,0.91956,0,0.51988,0.80371,0.63192,0.6319,0.51988,0.80371,0.63192,0.62765,0.18559,0.24534,0.89343,0.39312,0,0.000184055,0.000184055,0.000184055
24,11322.3,0.04117,0.20088,0.80034,0.91337,0,0.4935,0.8346,0.62785,0.62771,0.4935,0.8346,0.62785,0.62379,0.17802,0.23841,0.90381,0.39315,0,0.000127467,0.000127467,0.000127467
25,11779.2,0.04,0.20356,0.7792,0.90146,0,0.53841,0.7539,0.63656,0.63218,0.53841,0.7539,0.63656,0.63049,0.20196,0.24628,0.85988,0.42351,0,7.08784e-05,7.08784e-05,7.08784e-05
